i,j,v
257756,429564,147
336902,12418,50
326666,460342,33
387202,16544,30
490659,319055,4
533305,289236,45
6945,10174,398
426994,315785,32
344668,385211,2
501734,502302,86
226690,404871,50
326040,323070,500
375775,484826,10
330083,326677,20
411061,444691,11
501169,286404,50
618597,526510,28
502052,428666,550
685084,247143,13
424407,372888,20
396236,453804,100
306929,246905,20
264222,408746,1000
17762,255648,475
564456,531203,40
212085,296687,25
417299,387328,21
438841,323070,10
349286,420763,100
9326,411226,43
404871,500880,1505
316088,466111,5
435085,274,5
470655,430159,56
517066,323989,10
334050,285462,50
318908,443198,12
606671,508409,10
399855,422447,50
474251,211693,2
315676,332316,30
385612,287450,49
263574,525578,55
446775,337056,5
307834,288204,169
486468,439396,5
420374,354220,25
382645,342551,179
233030,231402,1000
249958,281290,333
324497,323251,100
8425,233030,1000
432795,491684,15
17360,19258,41
407704,502639,150
503683,443876,91
417451,409059,34
573480,542239,55
194028,376455,2000
19105,193928,555
302081,526510,42
441782,307834,30
480411,108,10
699129,379581,20
461681,436265,86
507509,16629,143
254081,376144,128
379180,378362,275
380950,355271,29
449351,542377,86
14253,459278,100
430042,495539,1000
395053,348154,25
434255,381340,42
425901,234616,10
4215,302556,300
198783,365209,50
472948,331605,55
461286,14970,74
502075,405729,110
534,2,1
308536,16098,100
252082,436530,761
396217,244328,2
326147,307568,222
502075,405697,82
290313,405451,31
379785,461283,24
641489,509805,40
443275,434135,998
266299,310124,157
514835,417359,65
342878,724221,17
372198,392480,324
434019,429951,50
217617,268024,192
8447,294370,69
441555,217699,2000
14948,339484,149
195929,283144,200
594552,435404,191
509805,641489,40
320219,322682,50
434019,586787,50
441555,377555,1000
525578,8447,15
269775,279097,220
513168,515963,76
395052,446119,47
466111,421001,500
399143,396686,45
327792,515325,5
513671,513185,11
8447,261625,5
287136,241763,169
216548,377555,505
416865,18162,202
326147,20649,300
384428,502453,200
229878,441555,2000
298826,290313,105
349775,266299,1555
510831,509371,15
507219,216548,503
492249,497738,150
294370,266584,69
354795,538138,25
308405,292506,69
343056,348561,104
448074,464079,10
466715,392746,1
229878,507219,500
371981,370704,90
448074,599948,3
366380,384428,121
647517,7933,2
434135,434019,40
339196,229878,500
448074,518129,3
501095,516132,300
405729,267671,69
448074,644823,3
420045,281836,444
12502,427830,10
647517,14209,2
448074,521007,3
196215,8680,100
472643,366380,99
366431,400425,149
519769,296978,40
318849,262938,10
350698,433599,500
573332,445429,235
417735,406022,30
647517,539877,185
280661,374151,40
326147,316097,178
389126,489586,105
417735,14982,30
509446,407484,120
445429,498083,705
448074,501794,3
519769,381440,41
308827,417451,25
380073,600211,126
326147,364017,300
433599,350698,500
339196,429587,201
14584,343056,303
618624,412625,44
407484,509446,120
284679,600593,11
395500,15513,100
306237,499906,100
523317,548336,42
515577,528699,5
417735,439718,42
416865,339009,150
417905,339196,202
503372,366380,101
502453,431050,48
440043,621226,235
414752,436452,270
17542,274171,31
573332,525739,540
294151,475102,105
326613,288577,87
641489,408509,30
412307,534426,5
290313,429951,47
434135,441372,90
421758,394357,400
8998,494652,294
502453,384428,201
417905,502586,53
422022,407315,45
451534,409517,40
440043,683775,1
607523,448851,60
266584,294370,69
431050,502453,48
288391,417905,201
267671,14720,198
509265,409517,11
317528,265749,500
461283,461560,21
258861,217006,190
15145,343056,181
366380,472643,98
343056,267841,475
480793,474541,10
370988,370971,90
357078,384538,70
278406,4905,500
403782,388262,190
429691,489023,189
318847,224429,21
378430,360196,150
366380,503372,102
429691,607069,1
21417,200375,100
482887,406952,20
14720,486876,201
357078,380030,70
455565,386851,80
516068,638748,1675
270451,282725,249
335459,297910,200
297910,288391,200
318208,335459,200
306237,335897,100
374083,682881,50
3850,14567,500
339196,231402,5
267671,405729,1
224525,327165,269
704446,326613,402
294370,463703,42
398028,5181,10
13539,267671,101
462729,424829,100
374083,432536,100
441956,477997,50
507219,377555,202
361731,330563,173
297057,378430,30
501087,504711,480
493739,414180,50
372614,371981,90
516457,528786,5
377497,455565,99
480036,278653,50
214570,1110,17
267671,677622,2
267775,343942,1900
486604,514179,250
280002,326147,100
350698,326736,210
461286,427204,101
449549,485848,49
493739,633422,20
465748,418321,111
14461,438168,513
485848,330349,50
278406,8447,400
485848,218402,50
331251,13539,201
371729,342551,5
431836,339616,60
471502,472330,26
329333,486604,251
688291,600370,5
212085,20358,100
460892,195117,15
521381,419900,190
234363,468120,5
457275,485903,40
423378,270138,40
472680,410007,6
354156,405729,70
567248,392597,100
438168,497859,629
370263,285998,25
361726,641489,31
423378,326433,40
378430,297057,45
457275,463226,39
262901,420229,22
515344,2,2
227242,401034,8
457275,485843,41
471502,407655,15
13539,331251,204
501499,408509,101
264690,514577,50
412625,417884,20
480036,253744,15
417851,397815,10
287505,318208,200
570151,3827,100
15224,6373,300
482820,267671,50
512497,422953,560
13539,431575,76
315768,293702,279
513266,366380,60
296978,421433,50
511753,324790,802
457275,496126,32
326613,502720,109
354795,441067,50
339205,459307,312
310124,395131,300
326613,502728,112
392597,380136,200
459278,435501,2
400192,234616,20
419242,510831,125
473065,535208,10
459278,400074,2
485903,463226,32
407886,406913,31
405228,19253,300
298741,298464,54
516068,638748,100
473065,269405,10
485903,485843,38
346002,462213,5
459385,409931,5
286955,329333,203
471502,8447,25
419042,281289,190
318908,533404,9
578007,528852,5
318208,507219,210
509297,259577,202
318908,671508,9
262901,248954,44
318908,296050,9
448661,430494,50
298741,483050,53
318908,528242,9
318908,500861,9
318908,508309,9
404424,404849,333
308536,445127,10
405228,508763,146
405729,268663,72
485903,421261,15
395500,244479,100
499824,281836,25
441956,243818,10
262901,390392,33
3372,758793,169
451534,515461,55
265418,248142,2286
262901,209586,44
3372,281290,300
441956,373025,53
405729,445796,25
406927,366713,31
377260,504257,180
448074,537711,3
448074,641373,3
429951,379167,50
404424,354255,5
281290,3372,350
409854,406927,200
336226,420123,36
262901,281129,44
369922,461587,50
448074,641233,3
221310,290144,500
448074,641233,3
221310,409854,200
523721,384013,105
396503,375451,51
221310,221326,32
262901,374958,44
448074,598934,3
396503,389384,49
308536,417769,50
424732,14461,2251
276692,230147,19
343056,14584,308
424732,14461,591
346002,409573,5
440352,16851,22
292658,378853,105
331251,513167,45
340986,309242,500
429994,431398,3
430258,285998,10
336403,509297,33
423378,296207,40
20005,326306,100
326040,443310,50
314532,11124,20
287505,217699,500
336226,339205,118
327341,298503,240
404803,453804,510
285462,423036,220
14366,499970,101
340217,502406,80
464987,468143,50
590111,386247,11
299853,351598,50
385469,330471,20
417307,453989,100
270228,14191,33
503789,499852,201
290963,472435,100
366213,344698,176
448061,342878,49
378422,445127,50
319999,385489,100
648468,487297,10
299853,5395,35
648994,514505,30
376989,288577,72
431795,452111,100
299853,305843,50
379529,16655,30
526995,434175,65
426338,401818,25
250664,599948,7
511183,435660,101
390101,408746,50
426338,402382,8
501379,632371,29
475756,250874,20
724351,3652,100
4567,249958,144
383877,434908,249
258848,456585,169
343039,333932,25
440766,439610,8
414259,483365,50
422708,781851,250
496569,492770,10
425264,422759,100
501379,557166,30
499852,392734,123
543988,511753,500
440766,580446,30
14345,1348,50
507309,420229,1000
414259,694225,50
443478,445359,100
498083,461560,45
17803,277313,405
426967,281296,100
510566,464071,119
451811,313283,5
475756,502922,20
243818,7012,8
323433,351598,101
445127,307834,10
474384,365892,10
294823,579539,100
454563,419350,20
250664,475326,30
371981,354090,100
3652,691180,25
438216,498333,25
243818,11244,8
579539,445226,100
482024,246905,30
292426,402242,199
482968,432341,35
243818,12048,8
15734,14720,250
324741,475102,50
453170,421423,71
499542,454563,100
482968,493607,50
319616,516256,15
354775,414004,10
294300,18465,425
14260,528182,40
243818,234616,8
456309,462832,39
417216,512421,10
17360,392267,10
243818,270005,8
248226,326433,10
250664,14345,5
509504,435204,37
417216,463031,10
417216,512446,10
481476,474036,200
399884,484541,110
421047,16643,100
417216,447195,10
417216,408038,10
417216,296050,10
14260,14191,50
417216,519669,10
417216,512446,10
508863,396357,50
482872,321969,10
243818,283056,8
457716,470886,26
329799,465466,50
348501,426963,100
319999,331026,50
474036,434908,300
462664,387373,42
14260,388401,50
440766,348773,10
250664,305890,5
440850,388622,31
483746,582633,18
459278,510956,10
456309,459122,30
464987,445234,51
357606,435978,20
543988,462167,50
509504,526198,11
459278,274580,10
243818,296882,8
483746,451908,15
243818,333414,8
275795,406923,199
512258,382998,25
279097,345861,200
370448,275795,100
585995,747757,40
347868,427732,10
480036,643204,20
509265,388622,29
704446,268412,167
516505,14260,5
443225,353819,30
288577,351514,80
243818,380660,8
232187,273490,400
355110,375831,222
480036,504182,20
7212,435501,95
243818,420554,8
443225,247143,10
347868,385699,51
243818,450187,8
537946,12443,25
480411,519142,30
482968,376168,10
501379,509175,41
465466,329799,51
376168,511543,10
15116,285695,172
15478,358423,498
773826,1110,10
499796,494705,10
405830,402010,99
246292,411061,300
243818,364953,8
526510,514036,12
3652,454819,25
443478,14455,300
319474,307486,502
453170,298018,71
394895,312016,10
449654,308827,8
432217,381401,90
470188,486435,20
412582,518889,3
511197,511368,15
440080,514501,2
396357,501735,50
498370,342878,50
392734,499852,123
250664,347285,30
428352,482872,10
397340,452111,30
526510,444929,5
411475,445359,10
417445,333368,190
16615,406923,52
516256,19387,10
315947,425496,598
377497,464987,60
549763,537607,42
475756,554172,10
421937,444424,122
501041,500457,1
404373,484541,1000
423327,519051,50
298915,463031,5
480411,511287,10
432217,453170,72
376209,292064,50
409551,16615,50
318181,499802,10
548336,523317,150
441310,371981,52
432217,428265,68
423415,424432,300
468256,414809,5
430403,264935,100
412582,535238,3
501041,529221,20
512371,302642,20
724351,423214,100
423415,509150,397
400135,323555,189
385699,386491,40
411475,421198,30
293002,404884,5
480411,508532,5
475756,14191,10
326492,543988,500
509150,423415,400
529384,18069,10
444929,420657,280
510796,434171,10
514501,444929,2
475410,704446,70
340526,395489,149
475756,13640,29
434268,497738,200
429878,498199,100
412582,528242,3
355351,513129,69
423383,523133,10
607069,427393,35
306404,508409,50
372840,772138,20
344719,16851,20
368514,265743,59
381565,525262,81
355351,249958,69
445796,247143,10
470430,509150,347
526510,439799,2
378422,483188,30
429878,508645,94
388515,323555,100
315443,381401,10
570151,315944,50
501041,400074,27
405729,17360,150
416580,444860,5
371561,278406,214
484541,399884,115
505620,505633,10
451534,484465,30
459170,397392,20
416580,351598,50
525262,452111,70
419388,366713,10
267841,498370,29
475410,288577,80
257650,408746,25
429587,378688,51
317777,415042,1000
377025,361731,100
408162,476853,200
318181,590111,50
480036,501765,10
472435,290963,99
383050,485843,50
312316,508756,900
525262,357317,301
7143,323251,10000
465639,449228,100
643204,448905,5
420493,388177,5
416580,398355,5
447048,432563,46
420493,7418,5
319616,487783,20
513688,516729,20
11244,243818,123
315941,298018,130
397340,462664,50
308045,444929,40
405451,429878,93
257650,420657,20
607069,604871,20
501087,258848,51
383050,389395,30
376989,475410,69
501087,540468,11
543988,516836,25
513562,513465,20
513622,514665,18
412772,294300,1200
452111,573332,71
243959,16453,50
513688,516745,20
530586,530524,6
513483,513580,20
476713,487578,100
513622,514669,20
244872,370365,300
412582,582640,3
513483,513580,20
513562,513635,18
535238,418296,10
15792,322492,50
420915,647182,5
307486,427563,30
7468,366713,100
463226,436119,51
261625,333868,111
476713,511493,2
465639,487297,11
249121,520989,26
441310,510199,56
513712,514766,22
644823,622955,3
475231,429107,275
346086,14366,201
354795,468256,25
409059,459213,20
526510,343622,10
513698,516743,20
513562,513712,20
407247,429587,50
323555,400135,195
286958,338874,1993
14720,318665,50
274457,397340,51
459170,416304,200
357317,293751,202
513483,514959,19
513698,516745,20
416580,309242,10
430484,494652,220
15717,503789,102
293751,357317,201
459278,377111,5
501087,540468,5
194028,21020,300
501087,519669,5
501087,582640,5
501087,534207,5
501087,514198,5
15717,503789,100
501087,501177,5
501087,485494,5
501087,500918,5
501087,511043,5
501087,282868,5
501087,502908,5
501087,287173,5
501087,449264,5
440252,448061,35
501087,306438,5
501087,542585,5
453804,396088,80
7212,243771,100
459716,263574,10
293751,431613,100
465639,380532,21
416580,332316,6
412582,535238,25
487783,407785,49
194028,18384,250
513622,515226,17
487578,512251,100
360427,415104,20
15268,448905,40
512323,503711,5
200530,343622,200
474553,509960,8
404803,474401,226
388177,549993,60
385593,423214,300
513512,513580,17
773826,307913,10
264481,217617,498
644823,315256,5
359338,336902,100
281991,502686,105
662955,416580,5
459385,529193,5
662955,430258,5
407847,16655,99
397340,515688,2
269856,250874,5
412582,443909,3
430484,439610,162
13336,490475,20
390101,287806,50
499831,428265,80
424829,339600,502
329211,366713,11
527568,381793,56
338874,217025,200
512280,433272,50
516729,515484,19
359338,399875,35
513635,514766,22
500826,306758,15
509150,501767,371
420915,499802,96
487783,429071,20
406536,508094,310
3652,283144,50
389395,433696,30
453170,499831,80
343622,200530,200
281991,278572,50
5870,14191,50
513465,513688,18
317777,467312,1000
444424,293751,77
516729,441750,20
14260,420554,40
354795,468256,25
513536,513562,20
5870,10575,50
329211,408681,11
498370,270219,55
365209,377646,50
408838,492032,15
303874,512619,700
435967,14948,87
498370,426426,25
385593,442770,20
376916,392267,20
366041,488066,33
389114,514221,10
15513,12048,250
303874,513864,600
266522,534992,200
437355,210628,20
410492,1068,200
407785,390357,45
607523,501087,300
437355,241112,100
431315,348561,108
7212,256931,22
445796,434093,28
437355,768611,50
284679,424711,11
268833,530935,50
7212,481476,50
7212,437483,10
430258,308426,10
7464,310124,300
277620,262664,20
418671,420657,245
515374,515002,38
385593,483960,30
289952,431331,26
375536,483462,77
389114,267671,5
417426,437000,37
509756,494652,50
403160,407785,51
431315,503907,150
518831,434908,5
436207,11782,10
379581,482024,10
308536,419722,100
277620,496937,20
445570,422022,72
277366,321969,100
403160,19387,49
507504,507532,22
216548,338246,111
422759,606889,220
5494,395346,4533
18802,281395,333
478670,236391,8
321969,459385,16
382645,342551,324
267219,423677,5
360623,337090,50
560607,576179,50
294226,297953,100
515428,514703,38
337090,360623,50
316097,298503,500
505108,501087,500
318213,263750,300
383386,379652,99
383106,365892,30
768884,525262,201
509960,407785,58
447233,277952,25
434561,434912,300
534992,14415,300
515428,515516,36
383106,456309,48
294370,15513,420
534992,376414,50
478308,486435,50
507509,16629,256
409912,383050,278
278239,340986,186
434561,487677,50
487070,266782,50
408979,230147,200
501509,451908,50
281996,508967,20
582633,434561,44
419521,426178,120
318447,333414,69
266626,285644,5
430120,293751,121
768884,486604,201
459170,488848,20
281996,396699,20
389114,452393,10
445796,582633,39
430327,424829,100
435805,14948,92
219158,192379,10
267671,421127,1
585995,398825,150
209586,249958,100
371154,210628,20
451908,434561,44
21147,507219,1000
437355,15633,15
316097,386134,255
473065,380455,35
383050,267671,50
515496,515516,35
21147,19323,2000
8968,12418,33
382645,380030,300
425496,589382,590
434561,451908,50
500500,480642,190
8968,234568,43
395096,617,19
308536,318447,15
386134,395677,52
348611,337090,42
434561,582633,50
193826,196950,1111
215114,1689,25
501332,502720,50
323070,379581,50
599708,535036,55
395096,13861,19
12626,459170,50
423132,502406,133
382645,441593,100
348154,196444,160
386134,316097,252
323070,493739,50
468120,296315,30
570151,15069,50
21147,420608,27
8968,12789,44
498429,388804,190
484444,269141,50
215114,239748,10
395677,386134,53
581772,690116,5
380455,215114,5
405451,498555,143
753828,429886,50
380455,396699,5
382645,382998,90
323032,323934,477
506156,417426,36
264540,500151,50
487070,2341,30
507381,507380,5
434406,508645,117
16590,305150,1001
461302,417063,30
579824,507209,5
4513,419722,69
525386,513562,32
248611,280661,200
292262,288577,300
296207,233880,150
264540,420031,92
305150,287505,501
248611,402406,500
525386,513580,32
427081,295422,991
281996,3629,20
487677,429886,35
379167,381793,101
525386,513599,32
372323,326011,200
528465,500918,50
385793,379676,105
383050,264540,49
382998,335969,50
525386,514943,32
383386,264540,199
474917,13998,189
309639,273442,20
448920,501935,90
451908,486876,56
515588,515641,5
337832,427260,278
753828,298319,30
326460,380660,6
422759,501095,1000
406815,404330,2010
487677,434561,49
501095,296315,250
434222,440747,20
499831,433696,74
296315,471160,10
337090,370263,50
266626,343942,30
205891,441956,1000
472680,454819,2
512797,510573,130
283056,350911,420
768884,384013,201
15481,15484,240
483188,421198,15
335969,382998,51
502728,487677,48
14948,509851,99
457268,527568,100
544896,19105,5
485260,258552,770
508756,12048,300
16590,424613,1094
501177,528465,90
291487,380635,10
12822,323070,50
483188,500000,10
385793,528242,55
270219,270414,281
382558,455850,135
500151,385303,8
417059,508756,550
487677,436119,20
508756,298503,300
483746,488523,30
380455,215114,5
417519,430110,120
484465,487677,40
380455,15069,5
414550,504631,200
380455,215114,5
309638,389808,100
429298,310145,16
501566,426698,100
215114,380455,10
384013,288577,151
15734,19253,204
420229,507309,810
472680,12626,10
335897,16405,400
431541,273442,100
267671,503372,50
488523,377636,10
474323,445796,20
466688,3,100
296315,345497,50
408509,437076,185
422056,339108,496
15513,395131,222
420229,508756,310
451605,542585,2
369922,333932,50
492737,354775,100
483746,435716,30
510012,536295,10
369922,382857,50
508756,429539,1000
373258,243300,420
632816,408509,49
486464,484791,100
14351,426045,500
339655,382558,208
266626,379673,5
443258,484336,50
390332,391084,74
398438,421374,40
501832,381536,950
414395,417519,76
15513,477292,222
499424,290313,90
451605,618027,2
392965,191503,100
514448,354760,25
245902,304326,15
251103,299028,190
8447,397815,10
508756,434222,20
386491,631749,80
308032,300986,150
420631,511413,181
308032,350911,150
459170,501095,200
315267,16719,20
4567,243300,144
305890,464299,1800
461350,457268,56
198783,211535,10
481746,390357,70
419660,419344,907
514835,378362,360
451903,243300,42
269775,324741,415
8447,473065,100
400135,468670,50
385793,473938,55
278406,326040,500
484465,343056,60
461745,455060,20
492737,460229,200
445796,503372,22
307899,439559,50
235686,316097,134
266626,419871,5
287867,381367,906
269405,243300,69
13505,253127,69
502568,8447,222
392965,309638,100
278104,400028,100
460229,492737,100
419344,419660,1278
321969,8447,128
389989,433696,151
385591,724351,150
376224,415042,1000
512173,264540,30
516028,8447,5
466655,237000,190
7408,12418,10
385612,305912,89
10144,407655,50
198783,14191,10
390613,14730,44
198783,304523,10
7408,394895,110
385591,491255,100
322624,502639,150
8447,308536,50
385793,263309,20
431233,486126,10
501087,607523,310
435716,8447,69
386491,423214,57
227242,548,18
343056,484465,65
391117,499956,150
198783,21941,10
210201,375831,77
17354,238835,10
243300,482872,210
14919,270277,202
437433,380163,100
401736,486876,200
450187,380181,57
449301,270228,15
323032,461762,81
519238,305198,100
431336,422299,20
281836,431492,5
292896,461560,80
455975,15069,35
399370,2252,50
440537,16740,477
419852,296207,55
15343,191135,100
366213,265153,100
3726,7464,20
497738,500075,10
511972,336022,20
291943,318162,57
512446,422809,51
452306,618834,2
420045,17072,100
281836,399875,5
281836,390604,5
430484,507376,23
273379,380728,808
466111,672303,25
466111,285604,25
419852,462989,45
452306,487530,5
357393,505112,10
456735,473065,20
739586,15462,80
291943,348611,15
478596,14999,41
235512,473065,69
347807,449351,84
17711,436455,158
193928,403090,500
426197,527958,100
333414,302400,69
218142,509022,51
375727,230238,21
511479,403619,10
475607,429681,32
340986,435314,22
12626,511241,10
335080,423331,70
392438,378571,387
238032,252598,777
487633,492699,62
433834,319035,105
281836,396484,5
455975,310292,25
238032,535036,15
14730,475253,200
443478,315676,90
444785,420974,700
269643,504693,83
238032,623304,12
376591,525617,111
19266,403298,8
265153,400917,15
14511,354767,20
294952,278572,41
404621,498447,45
333414,337090,50
368013,349331,33
485585,400074,100
218142,370162,11
500462,376591,250
333368,417445,420
195864,364883,20
376989,448944,91
509346,279221,28
262679,461560,80
510012,510004,48
253870,265577,200
466111,14345,25
482984,317048,51
323032,17542,187
281836,474644,5
238032,513265,14
281836,518830,5
205622,314532,100
193928,466111,300
12626,312874,10
387383,462601,25
407903,275914,33
385482,13998,97
270138,293760,169
261245,261625,33
601398,509648,30
262679,498083,81
504902,13998,21
6097,477159,1024
332316,337090,42
238032,516420,13
518218,520185,5
294151,435573,100
404621,456711,10
281836,386476,5
287505,378805,51
511479,397392,5
235512,452121,15
12626,509587,10
440766,462729,52
436566,416556,104
360623,448209,25
281836,445796,5
281836,479657,5
378422,337090,35
478392,269694,20
390829,254022,11
433635,329134,39
533032,533075,1
253540,620241,85
495803,436577,20
248339,324497,100
490427,403619,6
312959,17719,149
379089,435716,16
14415,534992,255
281836,461302,5
193928,516,200
305198,519238,100
466111,487357,25
358799,201035,40
378422,483188,30
501383,507822,6
14511,332502,20
357570,436455,193
281551,309639,35
366213,434822,57
399370,781003,100
18636,436657,79
345685,412805,15
464761,431575,64
238032,646845,10
443478,428669,100
13994,434822,123
281836,617305,5
497723,582633,24
12626,370143,50
12626,429238,10
450057,409268,100
217261,323631,347
378422,360623,50
281836,262303,5
280603,257756,327
398824,472931,50
475607,431653,31
382998,473277,41
434553,784512,20
13674,17076,21
495803,345685,15
262679,573332,81
501102,499635,30
333414,15776,51
428431,451841,50
18636,17716,111
193928,436577,300
460653,398438,12
452432,416502,34
281836,470945,5
387383,456309,51
285604,671554,24
195117,321795,36
17719,18636,173
12626,664107,10
5701,8451,1000
314532,460892,10
281836,499687,5
281836,342477,5
333414,358767,40
193928,234616,400
273379,195847,50
251588,448132,116
362962,391861,72
281836,423235,5
291943,409380,15
329170,400075,22
12626,516505,10
500588,419019,500
357596,468689,5
279037,282520,20
289236,366380,30
281836,318181,5
292896,376414,51
739586,253424,91
381565,573332,82
392187,342554,100
449489,512254,1
417905,216736,46
335080,403698,300
281836,452121,5
308587,443310,33
462601,387383,22
392080,224429,6
415388,441532,20
12626,743341,10
306566,409789,200
386723,269775,200
405409,267841,10
265153,352787,25
511102,533032,2
193928,385387,200
12626,508655,10
18636,17711,141
12626,242090,10
513844,15327,83
511496,621342,25
632542,13505,15
436199,281129,30
16255,19266,15
421423,784512,11
273379,360600,50
273379,383054,50
456716,403689,34
351709,528794,100
426316,381793,99
511102,542585,3
270138,293760,269
357596,278085,20
13674,232512,101
367636,392480,19
535238,512482,130
281290,226244,55
322682,279217,39
281836,421000,5
409789,431192,202
784512,421423,11
193928,256829,300
445210,385793,10
506156,516709,15
435660,445415,68
349775,328041,2384
497738,430789,155
392187,342202,9
376336,505614,186
12626,468256,10
478596,456555,25
381565,461560,80
483837,366380,30
361731,378086,182
2210,420564,1500
294151,324741,92
392080,389824,34
13994,376224,180
378805,16621,51
248345,307224,150
370365,276692,147
317048,336653,25
355677,443352,39
667130,416761,30
369922,300986,33
481970,8942,25
441645,421879,50
13674,290520,51
254022,441493,120
518218,449488,8
238032,510034,11
267841,405259,41
456711,452746,20
376007,509054,32
433216,403689,30
445210,348773,20
383050,268412,240
275914,407903,46
478596,335383,25
528794,426107,49
456735,667130,50
378359,445415,38
526285,268412,101
13674,403298,21
2252,399370,100
337717,378805,204
10095,445389,20
14351,292783,900
761818,440080,60
208153,198164,82
281836,508261,5
388528,490427,8
281836,516798,5
499969,364953,25
287173,533558,5
248345,209586,113
431192,337717,200
10095,468689,20
417780,403619,24
281836,421572,5
323555,388528,65
312959,357570,86
519238,305198,9
456037,226473,100
426316,381809,44
372091,431575,15
277296,20118,10
281836,196034,5
319807,254145,301
281836,402347,5
511479,269694,20
270138,293760,269
407315,298090,49
431575,464761,64
310145,483462,15
13994,15997,100
281836,423036,5
376989,376591,44
364953,499969,22
461208,421423,84
534992,14869,48
434060,282725,33
281836,461134,5
403547,397612,186
381565,498333,81
13998,385482,99
11632,410761,10
193928,218369,300
336567,364987,50
13994,431336,100
328903,379581,100
632542,516679,182
309849,497556,21
276692,370365,150
262679,498333,80
10178,10857,9000
268412,376989,102
281129,436199,55
357596,438822,102
281836,467135,5
461936,514973,83
497738,449882,10
500441,403689,100
449654,343434,10
512420,224429,8
430484,494652,160
478916,268359,24
382998,378053,30
419852,472330,35
14415,14451,300
13906,192373,22
12626,449014,10
357596,707086,5
438919,433834,100
451791,501448,173
502692,336403,83
445796,405729,37
281836,644212,5
381565,262679,423
421374,508745,25
16740,440537,490
281289,472977,100
292896,498333,81
511479,243300,5
381565,498083,81
443478,309043,100
502988,10174,10
14511,354748,20
229335,438919,101
292896,498083,80
292896,525262,80
399370,498983,15
336653,317048,25
417905,450057,101
12547,410595,545
14415,523222,80
17719,17716,170
387383,389824,50
12626,422809,10
265577,253870,201
466583,291943,13
281836,653407,5
281836,294238,5
478596,248226,50
411605,409912,504
262679,525262,80
279037,269694,20
319874,264893,40
281836,413614,5
281836,516359,5
354624,421732,128
417359,514835,363
339190,421857,85
14511,326677,20
306404,619869,407
281836,548943,5
436199,211693,50
193928,270228,100
508745,268412,25
261245,482024,33
378422,293760,50
445210,405979,16
193928,237884,100
281836,510573,5
431541,461236,15
385469,17454,5
502988,412316,58
475607,355677,35
434985,452306,863
332316,330083,33
309849,332420,88
419852,373025,35
281836,211120,5
14511,14447,20
333414,20118,49
14511,482024,10
528794,191419,99
449654,437433,20
452015,428265,76
12626,468256,10
456596,542663,11
426107,426936,18
401271,510071,11
12626,627459,10
14511,330083,20
345685,419829,30
449654,308220,10
369922,332300,33
319874,288579,76
466111,417418,25
518218,618801,20
392746,14349,72
466111,270228,25
367636,392480,40
336653,15327,50
17716,424528,178
13998,504902,21
12626,330428,5
13906,493739,44
14415,15639,75
739586,15459,326
512420,667130,35
218142,395131,51
16969,312144,100
534992,268412,100
281836,359298,5
387383,388824,15
434553,448944,40
376989,441671,56
2252,10144,50
483837,470458,30
667130,403020,20
17542,323032,186
375831,370263,35
478916,426611,27
481970,466926,25
453170,381573,102
268412,526285,103
387383,383031,50
409268,229335,101
9856,17137,1400
434912,440850,43
17716,436265,148
378422,402010,20
335383,456555,25
386491,426178,100
481582,472606,20
386358,373680,10
18518,309242,20
509156,435572,80
221578,234796,377
335383,318589,24
300265,318089,155
421000,270228,20
445335,250874,10
414004,354775,10
298541,293102,50
463031,380455,5
436577,327165,169
446139,252159,100
511843,481582,30
13539,15846,48
493739,423378,50
414004,510956,10
318401,535129,199
481159,468147,100
356635,435955,10
455119,251596,100
496569,514036,10
424407,424443,20
302913,214447,977
499252,425967,558
247018,283597,25
214621,339205,200
17771,13539,100
526995,442708,21
261965,299216,100
449009,418446,20
292732,455837,19
8942,193928,200
449009,405941,25
269856,250874,5
251596,8438,10
223778,195117,25
509156,498823,129
325289,439378,80
508575,396088,200
426924,268597,51
333643,452064,501
336226,214621,70
8942,421001,500
528025,423214,14
528025,694190,7
263619,443198,30
528025,350228,14
528025,627306,14
528025,442770,14
315112,509022,90
435501,251596,29
528025,491527,28
251596,509022,55
528025,508983,21
380455,463031,5
528025,694206,28
315112,424658,100
486459,396533,49
528025,501868,21
339205,336226,50
435572,498823,100
412805,405579,50
528025,377111,28
528025,528182,21
20806,276506,100
528025,414258,28
528025,389456,28
454029,499373,272
528025,446775,7
528025,694402,21
463031,218369,5
528025,694202,21
412805,421851,40
500474,500590,15
314464,21291,150
434154,253956,727
421851,412805,40
435513,426065,10
291628,247143,33
325289,285695,5
486470,14579,102
431567,348773,19
483188,326040,10
516181,449173,3
439396,419350,202
505007,421335,52
396892,396484,123
467312,467347,150
439396,462982,503
572574,512675,100
516028,354775,15
448920,435513,100
446139,435204,50
251596,375775,15
419829,405579,30
494652,439799,30
332469,3372,50
213396,335477,100
420930,357745,999
486435,508765,102
396236,453804,100
343997,195775,100
435160,467347,150
300271,329951,104
520827,405579,20
256248,1110,25
285462,399875,22
389824,512323,10
6714,434908,3500
248226,751470,50
460653,218369,4
402360,357606,10
285462,379676,55
323975,407021,201
406879,230360,8
490313,99,7
285462,293102,443
490313,8,7
499312,243317,50
520827,421851,20
491684,435204,35
368181,372840,96
487297,508642,12
446821,407704,200
410543,430930,55
476277,626256,10
307913,384608,15
385303,421747,20
520827,399892,10
251596,463031,3
435513,377731,30
416401,284679,94
511843,534426,40
322662,420930,750
